user_id	item_id	timestamp
19652	0	1651515571108
32363	0	1652486300870
30233	0	1653075791300
0	0	1662266049307
38267	0	1667865542265
17192	1	1652125277570
24707	1	1654374217853
347	1	1655658125404
0	1	1661366739812
11513	1	1673056501740
7049	2	1654000130439
38333	2	1654307691124
13125	2	1654891821434
0	2	1657921111452
75	2	1673103592072
38258	3	1653660444704
0	3	1655678873809
6174	3	1656784753524
9713	3	1666597538023
30995	3	1675838732875
2485	4	1509561565953
14033	4	1513691281320
16543	4	1514240497478
38265	4	1515720061361
19177	4	1519855087818
34069	4	1558158395728
38264	4	1564937719967
8032	4	1574090636188
52823	4	1574299526634
60	4	1574589880779
0	4	1574659954094
9038	4	1575148724337
37282	4	1575682621583
27928	4	1575844010169
32429	4	1576035851453
603	4	1576041380106
14287	4	1576532691812
27927	4	1576959272038
52730	4	1577810701546
42687	4	1577997081937
14141	4	1578249799440
14287	4	1579641576535
38964	4	1581391511288
4032	4	1581566202055
38292	5	1474988975000
38313	5	1475036410000
38320	5	1475077670000
37503	5	1475084347000
38325	5	1475090598000
11752	5	1475138352000
38312	5	1475156065000
38326	5	1475185825000
38306	5	1475189617000
20596	5	1475338826000
38290	5	1475559242000
38289	5	1475577467000
38329	5	1475595610000
4405	5	1475773923000
27152	5	1475841149000
28600	5	1475856901000
17564	5	1476051237000
38315	5	1476198601000
36649	5	1476418301000
38294	5	1477428064000
23009	5	1477506151000
38300	5	1477537122000
38318	5	1477868535000
6253	5	1477881078000
37932	5	1478379024000
38299	5	1478633081000
25836	5	1478725510000
38288	5	1479131769000
20228	5	1479153236000
7847	5	1479319991000
13228	5	1479498046000
2722	5	1479779546000
38301	5	1480202648000
38323	5	1480214709000
37279	5	1480669539000
24482	5	1481044492000
17555	5	1481215568000
19299	5	1481345571000
6871	5	1481348674000
27323	5	1481373394000
2407	5	1481655922000
38311	5	1482349040000
38304	5	1482805937000
38319	5	1482900094000
38316	5	1483470174000
31971	5	1483575473000
35835	5	1483666022000
38328	5	1483713495000
29029	5	1483893000000
2361	5	1483942057000
25325	5	1483980066000
9377	5	1484159656000
30428	5	1484252403000
15569	5	1484521916000
38321	5	1484968566000
38298	5	1485912545000
31678	5	1486004397000
14883	5	1486069676000
3182	5	1486223797000
27483	5	1486797004000
147	5	1486817555000
19446	5	1487830844000
38317	5	1487951682000
16879	5	1488041202000
