item_id	image	summary
5758	https://m.media-amazon.com/images/I/51fWzrTOFjL.jpg	Chicco Viaro Travel System, Teak. Product Description; For ultimate convenience, the Chicco Viaro Quick-Fold Stroller has a sleek three-wheel design, lightweight aluminum frame, and one-hand quick fold. A pull-strap and button are conveniently tucked under the seat and easy to activate simultaneously for a compact, free-standing fold. The stroller is even easier to open again after closing.For infants, the Viaro Stroller functions as a travel system with easy click-in attachment for the KeyFit 30 Infant Car Seat. For older riders, the Viaro Stroller includes a detachable tray with two cup holders, adjustable canopy, and multi-position backrest. A swiveling front wheel and suspension help maintain a smooth ride from surface to surface. Toe-tap rear brakes keep the stroller in place when parked. For parents, the Viaro Stroller features a padded push-handle, parent tray with two cup holders, and a large basket that is easily accessible from the front or back.  The Viaro Travel System includes the #1-rated Chicco KeyFit 30 Infant Car Seat, which accommodates infants from 4 to 30 lbs and up to 30". The KeyFit 30 is the easiest infant car seat to install simply, accurately, and securely every time.• Includes the #1-rated Chicco KeyFit 30 Infant Car Seat• Lightweight aluminum frame and sleek 3-wheel design• One-hand, free-standing fold • Multi-position reclining seat and adjustable canopy • Child tray with two cup holders• Parent tray with two cup holders • Swiveling front wheel with suspension for maneuverability • Toe-tap rear brakes for parking• Large storage basket with front and rear access• Padded handle; Brand Story; By Chicco
29328	https://m.media-amazon.com/images/I/31yFxn-V-HL.jpg	Nuby iMonster Toddler Bowl. When babies begin to show interest in feeding themselves, having the right equipment is a must! Nuby feeding accessories are made to withstand the challenges of daily use and retain their bright color. This Toddler Bowl is ideal for children who are beginning to feed themselves. Suitable for warm or cold foods. Microwave safe. BPA Free.
1256	https://m.media-amazon.com/images/I/41RLHVh7ACL.jpg	XMWEALTHY Unisex Infant Swaddle Blankets Soft Thick Fleece Knit Baby Girls Boys Stroller Wraps Newborn Baby Accessory Light Pink. 
8761	https://m.media-amazon.com/images/I/41YwmHfVXCL.jpg	Cloele Kids Toddler Pillowcase Envelope Travel Pillowcase Baby Pillow Cover Fits Pillows Sized 12x16 or 13x18-100% Cotton 1 Pack Soft Children’s Bedding Pillowslip Case for Boys and Girls - Blue Dog. 
17344	https://m.media-amazon.com/images/I/51p5HD50HhL._AC_.jpg	BERON 16 Pieces 4 Inches Colorful Handmade Chiffon Flowers for DIY Headbands Flower Accessories Flower Headband AIH0129. Colorful Chiffon Flowers Make Your Life Bright; The possibilities are endless with these beautiful chiffon roses. These Shabby Flowers are great for making headbands, hair bows, hair pins, scrap-booking, shoes and clothes.; Notice; 1. Due to handmade, please allow 10-15mm error due to manual measurement. 2. Due to the light and screen differences, color of the item may be slightly different from the pictures, please understand.; Packing list; 1 Pack of 16 Chiffon Flowers
421	https://m.media-amazon.com/images/I/414i6Mm-zhL._AC_.jpg	Biloban Mini Crib Sheets 38'' x 24'', 4 Pack Ultra Soft Microfiber Fitted Portable/Mini-Crib Sheet for Baby Boys and Girl, Grey/Navy/White. 
935	https://m.media-amazon.com/images/I/31ewr0ONAnL._AC_.jpg	Luvable Friends Unisex Baby Cotton Flannel Receiving Blankets, Bird 7-Pack, One Size. Luvable Friends flannel receiving blankets are versatile baby blankets with a variety of uses. Great as a blanket, nursing cover, burp cloth, car seat cover, tummy time, changing pad cover and more. Our receiving blankets are made with 100% cotton flannel for the softest touch on your baby's skin.
11488	https://m.media-amazon.com/images/I/41RIgFSyCBL._AC_.jpg	KidCo G2100 Angle Mount Metal Safeway Gate (White). The KidCo Angle Mount Safeway is THE gate for all top of stairs applications, including walls or staircase balusters that do not line up, but can also be used in hallways or as a room divider. As a hardware mounted gate, it provides maximum safety at the top of stairs and in high traffic doorways because there is no bottom threshold to potentially trip over as found on pressure mount gates. Optional 10" extensions are available for larger openings up to 63".
28419	https://m.media-amazon.com/images/I/41FdY4XsY3L.jpg	Keepsie The Only Cover for Pacifiers with Stuffed Animals or Paci Clips (Prince Charming Blue & Dorian White 2 Pack). The Keepsie is a one-of-a-kind pacifier cover for the hard-to-cover pacifiers with attached plush animals, loops, tabs, and pacifier clips.; No more pulling pacifiers out of a diaper bag or purse to find them with lint or crumbs. No more worrying about them being thrown on the floor in between uses or animals using them as toys. Finally a solution to keeping them safe and clean from lint, crumbs, hair, and other environmental elements that create a risk.; Just snap snap and go...we've got you covered!; The Keepsie is the only cover of its kind; THE KEEPSIE IS COMPATIBLE WITH THESE PACIFIERS WITH ANIMALS:; WubbaNub Dr. Browns Lovey with tab, not loopAli+Oli PlushSoothie SnuggleMary MeyerNUBY SnuggleezRazBuddy JollyPop Plush; THE KEEPSIE IS COMPATIBLE WITH THESE PACIFIERS WITHOUT ANIMALS:; Ali+Oli ModernBIBS by Mushie Itzy RitzyJollyPop Preemie PacifierNanobebe Flexy 0-3  Natursutten NICU SoothieLittle Harmony NUBY Cherry Baglet Philips Soothie NICU 0-3 months and 3+ monthsPhilips Wee Thumbie Preemie 30 wk gestation or lessRazBaby JollyPop 0-3 Soothie ShapeTommy Tippie Ultra Light 0-6M; THE KEEPSIE IS COMPATIBLE WITH THESE BOTTLE NIPPLES:; Dr Brown's Natural Flow Narrow Bottle Nipple Level 1 (0m+); NOTE:; The Keepsie is not produced by, affiliated with, or endorsed by any of the compatible pacifiers.
8546	https://m.media-amazon.com/images/I/31mxG2nVsGL.jpg	Evenflo Classic Fast Flow Silicone Nipples 4 ea, Clear. Product Description; Evenflo Classic bottles and nipples provide a complete line of feeding solutions for your baby's changing needs. The Classic Nipples are made from soft silicone and feature Micro Air Vents. These special vents are designed to prevent nipple collapse, and promote a more comfortable feeding experience for baby. Designed for easy assembly and leak- free feeding these nipples are compatible with all Evenflo standard neck bottles. Rest assured, Evenflo baby bottle nipples are 100% free of BPA, polycarbonates, PVC and phthalates, and are also made of food grade material.; Brand Story; By Evenflo; From the Manufacturer; Evenflo classic silicone nipples with sensitive response sense baby's pressure and respond with the right amount of liquid and micro air vents reduce gas.; See more
6381	https://m.media-amazon.com/images/I/41hwdiNgi8L._AC_.jpg	Nickelodeon Toddlerific Sippy Cups, 1 Pack, Paw Patrol Boy. The Toddlerific(R) sippy cup is a Mom's Choice(TM) award winner. There's no need to keep buying new cups as your toddler grows; simply twist the patented perfect flo(R) valve to select the liquid flow that is perfect for your child. Toddlerific(R) sippy cups won't leak or spill, and the perfect flo(R) valve pops in and out for easy-cleaning. With double-wall insulation, the cup keeps drinks cooler longer and prevents condensation, and it's sized right for small hands to hold. Toddlerific(R) products are BPA free and dishwasher safe. Comes with one sippy cup.
4807	https://m.media-amazon.com/images/I/51NBUc5OnwL._AC_.jpg	BIG ELEPHANT Baby Boys Toddler Potty Training Pants 3 Pack Cotton Pee Underpants. 
11002	https://m.media-amazon.com/images/I/41r+3h5gxuL._AC_.jpg	JYYG KOUSI Portable Kids Wardrobe Closet Children Dresser Hanging Storage Rack Clothes Closet Bedroom Armoire Cube Organizer Formaldehyde-Free Furniture (Pink, 4 Cubes & 1 Hanging Sections). JYYG Portable Kids Wardrobe Closet Children Dresser Hanging Storage Rack Clothes Closet Bedroom Armoire Cube Organizer Formaldehyde-Free Furniture (Pink, 4 Cubes & 1 Hanging Sections)
23721	https://m.media-amazon.com/images/I/31ixG9zjhXL.jpg	J.L. Childress Tall Twocool, Breastmilk Cooler, Baby Bottle & Baby Food Bag, Insulated & Leak Proof, Ice Pack Included, Fits 2-4 Bottles, Black. The Tall TwoCOOL holds 2 standard bottles, 2 wide body bottles, 2 sipper cups or 2 soda cans. Features leak proof lining that pulls up for easy cleaning. Lining is also PVC, lead and phthalate free. The Tall TwoCOOL is fully insulated and includes a reusable ice pack to keep bottles cool and fresh for hours. Compact to fit into diaper bags.
